COUNT,AFFILIATION,AREA,COMMUTE_TYPE,COUNTY,AVGDIST
8,AS,SLD,WLK_T,25009,32.65903039
209,AS,SLD,WLK_T,25017,6.303378275
36,AS,SLD,WLK_T,25021,15.28814026
76,AS,SLD,WLK_T,25025,4.803318361
34,AS,SSM,DRV,25017,16.22559073
13,AS,SSM,DRV,25021,9.136621884
6,AS,SSM,DRV,25025,4.398164501
45,AS,SSM,UNK,25017,9.628386756
8,AS,SSM,UNK,25021,6.272728752
9,AS,SSM,UNK,25025,3.145837042
7,AS,SSM,WLK,25017,1.376167327
19,AS,SSM,WLK_T,25017,4.267846105
5,F,ENG,BIC,25017,1.560859398
5,F,ENG,CARPOOL,25017,10.8482877
5,F,ENG,DRV,25009,41.08491772
199,F,ENG,DRV,25017,15.22385827
30,F,ENG,DRV,25021,12.63690125
14,F,ENG,DRV,25025,4.199497797
25,F,ENG,DRV_T,25017,13.37860234
22,F,ENG,UNK,25017,4.704939271
11,F,ENG,WLK,25017,1.621310026
25,F,ENG,WLK_T,25017,8.1267784
11,F,HAS,BIC,25017,2.480891124
49,F,HAS,DRV,25017,9.80552752
9,F,HAS,DRV,25021,5.929585641
10,F,HAS,DRV,25025,3.462741052
12,F,HAS,DRV_T,25017,13.14069393
10,F,HAS,UNK,25017,4.142523278
27,F,HAS,WLK_T,25017,5.514344689
5,F,HAS,WLK_T,25025,3.040878525
27,F,SAP,DRV,25017,9.743432105
5,F,SAP,DRV,25025,5.281571845
11,F,SAP,UNK,25017,3.968030438
10,F,SAP,WLK_T,25017,4.974722178
6,F,SCI,CARPOOL,25017,8.347888289
115,F,SCI,DRV,25017,10.19932647
19,F,SCI,DRV,25021,10.93195419
8,F,SCI,DRV,25025,5.789403727
17,F,SCI,DRV_T,25017,17.27244953
31,F,SCI,UNK,25017,5.330643138
11,F,SCI,UNK,25021,5.657609365
11,F,SCI,WLK,25017,1.650488422
24,F,SCI,WLK_T,25017,7.286052461
50,F,SSM,DRV,25017,14.17500925
14,F,SSM,DRV,25021,7.696459457
7,F,SSM,DRV,25025,2.545548601
7,F,SSM,DRV_T,25017,12.96623188
